"region","index","alpha_frac","gamma_frac","delta_frac","omicron_frac","other_frac"
"Greater Sacramento Region Health Officers",2022-04-18,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-18,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-18,0,0,0,1,0
"Southern California Health Officers",2022-04-18,0,0,0,1,0
"California",2022-04-18,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-19,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-19,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-19,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-19,0,0,0,1,0
"Southern California Health Officers",2022-04-19,0,0,0,1,0
"California",2022-04-19,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-20,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-20,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-20,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-20,0,0,0,1,0
"Southern California Health Officers",2022-04-20,0,0,0,1,0
"California",2022-04-20,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-21,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-21,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-21,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-21,0,0,0,1,0
"Southern California Health Officers",2022-04-21,0,0,0,1,0
"California",2022-04-21,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-22,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-22,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-22,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-22,0,0,0,1,0
"Southern California Health Officers",2022-04-22,0,0,0,1,0
"California",2022-04-22,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-23,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-23,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-23,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-23,0,0,0,1,0
"Southern California Health Officers",2022-04-23,0,0,0,1,0
"California",2022-04-23,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-24,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-24,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-24,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-24,0,0,0,1,0
"Southern California Health Officers",2022-04-24,0,0,0,1,0
"California",2022-04-24,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-25,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-25,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-25,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-25,0,0,0,1,0
"Southern California Health Officers",2022-04-25,0,0,0,1,0
"California",2022-04-25,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-26,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-26,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-26,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-26,0,0,0,1,0
"Southern California Health Officers",2022-04-26,0,0,0,1,0
"California",2022-04-26,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-27,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-27,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-27,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-27,0,0,0,1,0
"Southern California Health Officers",2022-04-27,0,0,0,1,0
"California",2022-04-27,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-28,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-28,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-28,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-28,0,0,0,1,0
"Southern California Health Officers",2022-04-28,0,0,0,1,0
"California",2022-04-28,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-29,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-29,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-29,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-29,0,0,0,1,0
"Southern California Health Officers",2022-04-29,0,0,0,1,0
"California",2022-04-29,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-04-30,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-04-30,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-04-30,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-04-30,0,0,0,1,0
"Southern California Health Officers",2022-04-30,0,0,0,1,0
"California",2022-04-30,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-01,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-01,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-01,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-01,0,0,0,1,0
"Southern California Health Officers",2022-05-01,0,0,0,1,0
"California",2022-05-01,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-02,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-02,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-02,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-02,0,0,0,1,0
"Southern California Health Officers",2022-05-02,0,0,0,1,0
"California",2022-05-02,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-03,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-03,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-03,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-03,0,0,0,1,0
"Southern California Health Officers",2022-05-03,0,0,0,1,0
"California",2022-05-03,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-04,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-04,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-04,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-04,0,0,0,1,0
"Southern California Health Officers",2022-05-04,0,0,0,1,0
"California",2022-05-04,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-05,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-05,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-05,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-05,0,0,0,1,0
"Southern California Health Officers",2022-05-05,0,0,0,1,0
"California",2022-05-05,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-06,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-06,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-06,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-06,0,0,0,1,0
"Southern California Health Officers",2022-05-06,0,0,0,1,0
"California",2022-05-06,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-07,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-07,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-07,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-07,0,0,0,1,0
"Southern California Health Officers",2022-05-07,0,0,0,1,0
"California",2022-05-07,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-08,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-08,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-08,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-08,0,0,0,1,0
"Southern California Health Officers",2022-05-08,0,0,0,1,0
"California",2022-05-08,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-09,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-09,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-09,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-09,0,0,0,1,0
"Southern California Health Officers",2022-05-09,0,0,0,1,0
"California",2022-05-09,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-10,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-10,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-10,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-10,0,0,0,1,0
"Southern California Health Officers",2022-05-10,0,0,0,1,0
"California",2022-05-10,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-11,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-11,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-11,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-11,0,0,0,1,0
"Southern California Health Officers",2022-05-11,0,0,0,1,0
"California",2022-05-11,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-12,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-12,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-12,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-12,0,0,0,1,0
"Southern California Health Officers",2022-05-12,0,0,0,1,0
"California",2022-05-12,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-13,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-13,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-13,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-13,0,0,0,1,0
"Southern California Health Officers",2022-05-13,0,0,0,1,0
"California",2022-05-13,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-14,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-14,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-14,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-14,0,0,0,1,0
"Southern California Health Officers",2022-05-14,0,0,0,1,0
"California",2022-05-14,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-15,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-15,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-15,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-15,0,0,0,1,0
"Southern California Health Officers",2022-05-15,0,0,0,1,0
"California",2022-05-15,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-16,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-16,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-16,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-16,0,0,0,1,0
"Southern California Health Officers",2022-05-16,0,0,0,1,0
"California",2022-05-16,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-17,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-17,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-17,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-17,0,0,0,1,0
"Southern California Health Officers",2022-05-17,0,0,0,1,0
"California",2022-05-17,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-18,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-18,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-18,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-18,0,0,0,1,0
"Southern California Health Officers",2022-05-18,0,0,0,1,0
"California",2022-05-18,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-19,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-19,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-19,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-19,0,0,0,1,0
"Southern California Health Officers",2022-05-19,0,0,0,1,0
"California",2022-05-19,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-20,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-20,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-20,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-20,0,0,0,1,0
"Southern California Health Officers",2022-05-20,0,0,0,1,0
"California",2022-05-20,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-21,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-21,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-21,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-21,0,0,0,1,0
"Southern California Health Officers",2022-05-21,0,0,0,1,0
"California",2022-05-21,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-22,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-22,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-22,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-22,0,0,0,1,0
"Southern California Health Officers",2022-05-22,0,0,0,1,0
"California",2022-05-22,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-23,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-23,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-23,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-23,0,0,0,1,0
"Southern California Health Officers",2022-05-23,0,0,0,1,0
"California",2022-05-23,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-24,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-24,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-24,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-24,0,0,0,1,0
"Southern California Health Officers",2022-05-24,0,0,0,1,0
"California",2022-05-24,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-25,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-25,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-25,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-25,0,0,0,1,0
"Southern California Health Officers",2022-05-25,0,0,0,1,0
"California",2022-05-25,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-26,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-26,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-26,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-26,0,0,0,1,0
"Southern California Health Officers",2022-05-26,0,0,0,1,0
"California",2022-05-26,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-27,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-27,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-27,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-27,0,0,0,1,0
"Southern California Health Officers",2022-05-27,0,0,0,1,0
"California",2022-05-27,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-28,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-28,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-28,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-28,0,0,0,1,0
"Southern California Health Officers",2022-05-28,0,0,0,1,0
"California",2022-05-28,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-29,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-29,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-29,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-29,0,0,0,1,0
"Southern California Health Officers",2022-05-29,0,0,0,1,0
"California",2022-05-29,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-30,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-30,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-30,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-30,0,0,0,1,0
"Southern California Health Officers",2022-05-30,0,0,0,1,0
"California",2022-05-30,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-05-31,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-05-31,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-05-31,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-05-31,0,0,0,1,0
"Southern California Health Officers",2022-05-31,0,0,0,1,0
"California",2022-05-31,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-01,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-01,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-01,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-01,0,0,0,1,0
"Southern California Health Officers",2022-06-01,0,0,0,1,0
"California",2022-06-01,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-02,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-02,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-02,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-02,0,0,0,1,0
"Southern California Health Officers",2022-06-02,0,0,0,1,0
"California",2022-06-02,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-03,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-03,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-03,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-03,0,0,0,1,0
"Southern California Health Officers",2022-06-03,0,0,0,0.999467802022352,0.000532197977647685
"California",2022-06-03,0,0,0,0.999758861827827,0.000241138172172655
"Association of Bay Area Health Officers (ABAHO)",2022-06-04,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-04,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-04,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-04,0,0,0,1,0
"Southern California Health Officers",2022-06-04,0,0,0,0.99946552645644,0.000534473543559594
"California",2022-06-04,0,0,0,0.99976910644193,0.00023089355806973
"Association of Bay Area Health Officers (ABAHO)",2022-06-05,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-05,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-05,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-05,0,0,0,1,0
"Southern California Health Officers",2022-06-05,0,0,0,0.999468085106383,0.000531914893617021
"California",2022-06-05,0,0,0,0.999769479022591,0.000230520977408944
"Association of Bay Area Health Officers (ABAHO)",2022-06-06,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-06,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-06,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-06,0,0,0,1,0
"Southern California Health Officers",2022-06-06,0,0,0,0.99953095684803,0.000469043151969981
"California",2022-06-06,0,0,0,0.999804763764155,0.000195236235845373
"Association of Bay Area Health Officers (ABAHO)",2022-06-07,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-07,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-07,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-07,0,0,0,1,0
"Southern California Health Officers",2022-06-07,0,0,0,0.999507631708518,0.000492368291482029
"California",2022-06-07,0,0,0,0.999794913863823,0.000205086136177194
"Association of Bay Area Health Officers (ABAHO)",2022-06-08,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-08,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-08,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-08,0,0,0,1,0
"Southern California Health Officers",2022-06-08,0,0,0,0.999514563106796,0.000485436893203884
"California",2022-06-08,0,0,0,0.999787955894826,0.000212044105173876
"Association of Bay Area Health Officers (ABAHO)",2022-06-09,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-09,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-09,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-09,0,0,0,1,0
"Southern California Health Officers",2022-06-09,0,0,0,0.999489535477284,0.000510464522715671
"California",2022-06-09,0,0,0,0.999765423410744,0.000234576589256392
"Association of Bay Area Health Officers (ABAHO)",2022-06-10,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-10,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-10,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-10,0,0,0,1,0
"Southern California Health Officers",2022-06-10,0,0,0,1,0
"California",2022-06-10,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-11,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-11,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-11,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-11,0,0,0,1,0
"Southern California Health Officers",2022-06-11,0,0,0,1,0
"California",2022-06-11,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-12,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-12,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-12,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-12,0,0,0,1,0
"Southern California Health Officers",2022-06-12,0,0,0,1,0
"California",2022-06-12,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-13,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-13,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-13,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-13,0,0,0,1,0
"Southern California Health Officers",2022-06-13,0,0,0,1,0
"California",2022-06-13,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-14,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-14,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-14,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-14,0,0,0,1,0
"Southern California Health Officers",2022-06-14,0,0,0,1,0
"California",2022-06-14,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-15,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-15,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-15,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-15,0,0,0,1,0
"Southern California Health Officers",2022-06-15,0,0,0,1,0
"California",2022-06-15,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-16,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-16,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-16,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-16,0,0,0,1,0
"Southern California Health Officers",2022-06-16,0,0,0,1,0
"California",2022-06-16,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-17,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-17,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-17,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-17,0,0,0,1,0
"Southern California Health Officers",2022-06-17,0,0,0,1,0
"California",2022-06-17,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-18,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-18,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-18,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-06-18,0,0,0,1,0
"Southern California Health Officers",2022-06-18,0,0,0,1,0
"California",2022-06-18,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-06-19,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-06-19,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-06-19,0,0,0,1,0
